Laptop_name,price
"TECNO Megabook T1 Laptop With Ryzen 5 5560U Processor/16GB RAM/512GB SSD/Windows 11/AMD Radeon R5 Graphics With 14.8mm ultra-thin design, 75Wh Massive Battery & Dual Heat Pipe Cooling System English/Arabic Space Grey ","1,572"
"Apple MacBook Air MLXW3 13-Inch Display : Apple M2 chip with 8-core CPU and 8-core GPU, 256GB/ English Arabic Keyboard Space Grey ","5,291"
"ASUS Expertbook B9400CEA-KC0626R Laptop With 14-Inch Full HD Display, 11th Gen Core i7-1165G7 Processor/16GB RAM/1TB SSD/Intel Iris Xe Graphics/Windows 10 Pro English/Arabic Black ","3,499"
"ASUS VivoBook Laptop With 16-Inch Display, Core i5-1335U Processor/8GB RAM/512GB SSD/Intel Iris XE Graphics/Windows 11 English Black ","1,899"
"DELL D9PD433 Latitude 7300 Laptop, Core I7-8665U Processor, Ram 16Gb DDR4, Storage 512Gb Ssd, Display 14"" Windows 10 Pro English/Arabic Black ","3,399"
"DELL Vostro 3510 Laptop With 15.6-Inch FHD Anti-Glare LED Display, Core i5 Processor/8GB RAM/512GB M.2 SSD/DOS(Without Windows)/2GB NVIDIA GeForce MX350 Graphic Card /International Version English/Arabic Carbon Black ","2,229"
"MSI Prestige 13 Laptop With 13.3-inch FHD Display, Core i7-1280P Processor/16GB RAM/1TB SSD/Intel Iris Xe Graphics/Windows 11 Home English/Arabic Black ","3,399"
"Lenovo ThinkPad L14 Gen 2 Laptop With 14-inch FHD (1920x1080) Display ,Core i5-1135G7 Processor /8GB RAM DDR4/512GB SSD/Windows 11 Pro/Integrated Intel Xe Graphics/ English/Arabic Black ","3,980"
"ASUS G733PYV-LL046 Laptop With 17.3-inch Display, Ryzen 9-7945HX3D Processor/32GB RAM/2TB SSD/DOS(Without Windows)/Nvidia GeForce RTX 4090 16GB/ English/Arabic Off Black ","14,870"
"ASUS X1502ZA-EJ1040 Laptop With 15.6-Inch FHD Display, Core i7 Processor/16GB RAM/512GB SSD/DOS/Integrated Intel Iris Xe Graphics English/Arabic Quiet Blue ","3,399"
"Toshiba Renewed - Z30B (2017) Laptop With 13.3-Inch Display, Intel Core i5 Processor/5th Gen/4GB RAM/128GB SSD/Intel HD Graphics ",941.15
"MSI CreatorPro M16 Laptop With 16-inch Quad HD Display, Core i7 -13700H Processor/16GB RAM DDR5/1TB SSD/Windows 11 Pro/GeForce RTX A1000 6GB/ English/Arabic Black ","4,799"
"ASUS VivoBook Laptop With 15.6-Inch Display, Core i7-1335U Processor/8GB RAM/512GB SSD/Winodws 11/Intel UHD Graphics English/Arabic Cool Silver ","2,349"
"Infinix GTBOOK Laptop With 16-Inch Display, Core i9-13900H Processor/32GB RAM/1TB SSD/6GB Nvidia Geforce RTX 4060 Graphics Card/Windows 11 Home With RGB Pad, RGB Headset & Gaming Mouse English/Arabic Gray ","5,399"
"Infinix GTBOOK Laptop With 16-Inch Display, Core i5-12450H Processor/16GB RAM/512GB SSD/6GB Nvidia Geforce RTX 3050 Graphics Card/Windows 11 Home With RGB Pad, RGB Headset & Gaming Mouse English/Arabic Mecha Gray ","2,999"
"Lenovo Ideapad L340-15API Laptop, AMD Ryzen 7 3700U 2,3GHZ, Ram 12GB DDR4, Storage 500Gb SSD M.2 + 1TB HDD, AMD Radeon RX Vega 10 Graphics, 15,6"" FHD TN Display, Win 10 Pro English/Arabic Grey ","2,699"
"DELL Vostro 3510 Laptop With 15.6-Inch Display, Core i5 -1135G7 Processor/8GB RAM/256GB SSD/Intel UHD Graphics/Windows 11 Home/ English/Arabic Black ","1,699"
"Apple 2023 MacBook Pro Laptop M3 Pro chip with 12‑core CPU, 18‑core GPU: 16.2-inch Liquid Retina XDR Display, 36GB Unified Memory, 512GB SSD Storage And Works with iPhone/iPad English/Arabic Silver ","12,499"
"Lenovo ThinkPad X12 Detachable 2-In-1 Laptop With 12.3-Inch FHD+ Display, Core i7-1160G7 Processor / 16GB RAM / 512GB SSD / Intel Iris Xe Graphics / Win10 Pro / English/Arabic Black ","9,999"
"Lenovo LOQ 3 15IRH8 Gaming Laptop With 15.6-Inch Full HD IPS Display, Core i5-13420H Processor/16GB RAM/512GB SSD/Windows 11/4GB GeForce RTX 2050/ Storm Grey ","2,699"
"Apple 2023 MacBook Pro Laptop M3 Pro chip with 12‑core CPU, 18‑core GPU: 16.2-inch Liquid Retina XDR Display, 18GB Unified Memory, 512GB SSD Storage And Works with iPhone/iPad English/Arabic Silver ","10,699"
"Acer Nitro 5 Laptop With 15.6-Inch Display, Core i9-12900H Processor/16GB RAM/512GB SSD/8GB Nvidia Geforce RTX 4060 Graphics Card/Windows 11 English/Arabic Black ","5,899"
"Toshiba Renewed - Dynabook TECRA Woth 13.3-Inch Display,Core i5-1135G7/11th Gen/ 8GB RAM/256GB SSD/Intel Iris XE Graphics/Windows 11 Pro ","1,849"
"ASUS Expertbook B1 Laptop With 15.6-inch Full HD Anti Glare Display, Intel Core i5-1235U Processor/8GB DDR4 RAM/512GB SSD/DOS(Without Windows)/Intel UHD Graphics/ English/Arabic Black ","1,899"
Lenovo Idea Pad 5G 14Q8X05 Laptop 82KF000FAD Qualcomm Snapdragon 8cx Processor Ram 8Gb DDR4 Storage 512Gb Ssd Display 14 FHD IPS Windows 10 Pro Light English/Arabic Silver ,"2,299"
Lenovo Lenovo IdeaPad S145-14IIL / Intel i5-1035G1 / Ram 8GB DDR4 / Integrated Graphics Card / Storage 256Gb SSD / 14 Inch FHD TN Display / Windows 10 Pro English/Arabic Grey ,"1,899"
"ASUS B9450FA-BM0157R Laptop With 14-inch Display, Intel Core i7 Processor/16GB RAM/1TB SSD/UHD Graphics Star Black ","5,000"
"ASUS Vivobook 15 Laptop With 15.6-Inch Full HD Display, Core i7-1355U Processor/16GB RAM/512GB SSD/Windows 11/Intel UHD Graphics/ Arabic Silver ","2,449"
"Lenovo Renewed - T440 ThinkPad Utrabook Laptop With 14-Inch HD Display,Intel Core i5-4th Gen Processor/8GB DDR3L RAM/240GB SSD/Windows 10 Pro English Black ",882.35
"HP 15-fd0029nx Laptop With 15.6-inch Full HD Display, Intel Core i5-1334U Processor/8GB RAM DDR4/512GB SSD/Windows 11 Home/Intel Iris Xe Graphics/ English/Arabic Natural Silver ","1,899"
"Lenovo IdeaPad 3 15IAU7 Laptop With 15.6-inch Full HD Display ,Core i5-1235U Processor/8Gb DDR4/256Gb M.2 SSD/Intel UHD Graphics/DOS(Without Windows)/ English/Arabic Arctic Grey ","1,629"
"HP Omen Laptop With 16.1-inch Display,Core i7 Processor/32GB RAM/1TBSSD/Windows 11/8GB Nvidia GeForce RTX 4060/ English/Arabic Shadow Black ","5,999"
"HUAWEI MateBook D14 Laptop With 14-Inch FHD Display, Core i5-12450H Processor/8GB RAM/512GB SSD/Intel Iris XE Graphics/Windows 11 English/Arabic Mystic Silver ","1,979"
"Microsoft Surface Laptop Studio 2 With 14.4-Inch Display, Core i7 Processor/16GB RAM/512GB SSD/Nvidia Geforce RTX 4050 Graphics Card/Windows 11 English/Arabic Platinum ","9,899"
"MSI Cyborg 15 (9S7-15K111-823) Laptop With 15.6-Inch Full HD Display, Core i7-13620H Processor/16GB RAM/512GB SSD/6GB Nvidia Geforce RTX 4050 Graphics Card/Windows 11 Home English/Arabic Black ","3,849"
"ASUS TUF Gaming F15 FX507ZC4-HN081W Laptop 15.6-Inch Display, Core i5-12500H Processor/8GB RAM/512GB SSD/4GB Nvidia Geforce RTX 3050 Graphics Card/Windows 11 English/Arabic Mech Grey ","2,999"
"MSI Thin A15 B7VF Gaming Laptop With 16-Inch Display, AMD Ryzen 7-7735HS Processor/16GB RAM/512GB SSD/8GB Nvidia Geforce RTX 4060 Graphics Card/Windows 11 English/Arabic Cosmos Gray ","3,749"
"Acer Aspire 3 A315 Laptop With 15.6-Inch Display, Core i5-1135G7 Processor/8GB RAM/512GB SSD/DOS(Without Windows)/Intel Iris Xe Graphics English/Arabic Pure Silver ","1,488"
