,price,Category,Inch,Core,Processor,Ram,Memory,Opysys
353,"2,599",HP,15.6-Inch,,,16GB,1TB SSD,Windows 11
354,"1,889",DELL,,Core i5,-1235U,8GB,512GB SSD,
355,"5,425",DELL,15.6-Inch,Core i7,-13650H,16GB,512GB SSD,
356,"3,599",Lenovo,14.5-Inch,,-6800H,16GB,512GB SSD,Windows 11
357,"1,699",DELL,15.6-Inch,Core i3,-1005G,4GB,,Windows 10
358,"2,499",ASUS,14-Inch,Core i7,,16GB,512GB SSD,
359,"2,049",ASUS,16 Inch,Intel Core i5,-1235U,8GB,512GB SSD,Windows 11
360,"8,199",Apple,16-Inch,,,16GB,512GB SSD,
361,"1,790",Lenovo,15.6-Inch,Core i5,,8GB,512GB SSD,
362,"1,399",Lenovo,15.6-Inch,Core i3,,4GB,,
363,"2,090",DELL,15.6-Inch,Core i5,-1235U,8GB,256GB SSD,Windows 11
364,"1,875",Lenovo,14-Inch,Core i5,,4GB,,
365,"3,649",DELL,,Intel Core i7,-1355U,16GB,512GB SSD,Windows 11
366,"3,395",DELL,,,,8GB,256GB SSD,
367,"1,999",ASUS,14-Inch,Core i5,-1135G,8GB,256GB SSD,
368,"2,299",ASUS,,Core i5,-1135G,2GB,,
369,950,ASUS,15.6-Inch,,,4GB,256GB SSD,
370,"2,799",HP,,,-7530U,8GB,512GB SSD,Windows 11
371,"5,999",MSI,15.6-Inch,,-8940H,16GB,512GB SSD,Windows 11
372,"2,199",HP,15.6-Inch,Core i5,-1135G,8GB,256GB SSD,
373,"9,499",Lenovo,16-Inch,Core i7,-14700H,32GB,1TB SSD,Windows 11
374,"2,980",ASUS,16-Inch,Core i9,-13900H,16GB,512GB SSD,
375,"2,420",ASUS,16-Inch,,,16GB,512GB SSD,
376,"3,880",ASUS,14-Inch,Core i9,-13900H,16GB,1TB SSD,Windows 11
377,"2,092",Lenovo,,Intel Core i7,-1255U,8GB,512GB SSD,
378,"1,898",HP,,Intel Core i5,-1135G,8GB,256GB SSD,
379,"16,499",MSI,17-Inch,Core i9,-14900H,64GB,2TB SSD,Windows 11
380,"6,599",ASUS,17.3-Inch,Core i9,-13900H,32GB,2TB SSD,
381,"4,999",HUAWEI,14-Inch,Core i7,-1360P,16GB,1TB SSD,Windows 11
